i;BuyOrSell;PosNeg;dateTime;price;encryptedName;;;starsNum;itemId;text;;;category;
45;(Kupujący);Pozytywny;2011-02-27 19:39:17;1200;84-16-80-D6-44-4E-EB-D9-07-BD-7D-52-FA-65-70-6E;;;468;1440883700;komputery
46;(Kupujący);Pozytywny;2011-02-27 19:39:17;1300;84-16-80-D6-44-4E-EB-D9-07-BD-7D-52-FA-65-70-6E;;;468;1442131840;rtv-i-agd
47;(Kupujący);Pozytywny;2011-02-27 19:39:16;16500;84-16-80-D6-44-4E-EB-D9-07-BD-7D-52-FA-65-70-6E;;;468;1449130087;komputery
48;(Kupujący);Pozytywny;2011-02-27 16:51:14;11500;74-8B-3D-D6-37-37-41-C2-46-E0-30-75-03-54-9F-1A;;;39;1461557767;komputery
50;(Kupujący);Pozytywny;2011-02-27 15:19:57;7000;6B-17-8B-31-96-DF-87-A3-13-09-E5-A3-2A-6A-9A-ED;;;46;1452415903;komputery
51;(Kupujący);Pozytywny;2011-02-27 14:53:22;15500;E8-37-67-B0-0F-43-39-18-BF-3C-93-A9-BC-FE-45-13;;;77;1413087221;komputery
52;(Kupujący);Pozytywny;2011-02-27 12:36:02;3900;8D-79-17-C6-1C-F7-25-82-18-5B-14-6B-55-DD-E8-4D;;;46;1382047532;komputery
55;(Kupujący);Pozytywny;2011-02-27 11:38:18;4300;BE-A5-0B-AB-E0-C7-F6-0D-CA-79-34-10-52-6F-AE-C9;;;13;1418656596;komputery
56;(Kupujący);Pozytywny;2011-02-27 10:18:54;3500;AE-71-88-18-14-22-22-89-DF-C6-F7-1D-62-61-DF-2A;;;32;1450791901;komputery
58;(Kupujący);Pozytywny;2011-02-27 00:32:41;22900;84-DD-76-79-B0-A5-5F-17-6A-49-7F-6D-75-18-20-80;;;54;1417991061;fotografia
59;(Kupujący);Pozytywny;2011-02-26 22:50:23;14500;41-BA-53-5C-0C-CD-4E-72-B2-C4-E7-17-4C-76-14-56;;;36;1444619596;komputery
60;(Kupujący);Pozytywny;2011-02-26 18:59:51;3600;5B-22-22-E9-9E-FA-2C-2F-E7-DD-F2-B9-3D-F3-8E-DA;;;308;1406564931;komputery
61;(Kupujący);Pozytywny;2011-02-26 18:45:17;21900;5E-E4-1F-EA-D5-BE-CD-9C-FF-E3-52-C3-C8-C0-70-BB;;;7;1394596859;komputery
62;(Kupujący);Pozytywny;2011-02-26 18:33:12;6400;C6-FE-4B-41-7E-65-A2-61-06-65-5C-0E-45-1B-95-AD;;;55;1429634681;rtv-i-agd
63;(Kupujący);Pozytywny;2011-02-26 17:39:27;5700;61-25-71-44-6E-D9-35-33-A0-0C-D0-6E-92-03-05-84;;;61;1413083071;komputery
64;(Kupujący);Pozytywny;2011-02-26 17:19:11;10900;EE-08-61-38-62-25-33-79-3E-48-B4-84-B7-05-2A-5B;;;53;1449781544;komputery
65;(Kupujący);Pozytywny;2011-02-26 17:19:11;9200;EE-08-61-38-62-25-33-79-3E-48-B4-84-B7-05-2A-5B;;;53;1462816120;komputery
66;(Kupujący);Pozytywny;2011-02-26 17:19:11;1300;EE-08-61-38-62-25-33-79-3E-48-B4-84-B7-05-2A-5B;;;53;1448589676;komputery
67;(Kupujący);Pozytywny;2011-02-26 16:06:50;9300;C2-2F-32-B7-FA-3A-A6-0D-76-DA-A7-1B-70-AD-46-40;;;14;1459142131;komputery
70;(Kupujący);Pozytywny;2011-02-26 10:47:07;4500;E2-A3-F6-B4-A0-49-BC-0D-0A-7D-16-F6-E0-CF-8C-68;;;122;1448436464;komputery
71;(Kupujący);Pozytywny;2011-02-26 09:22:36;4000;C0-41-67-2E-CD-22-CB-D7-9F-8C-6C-72-79-A7-B3-FD;;;69;1458534026;komputery
72;(Kupujący);Pozytywny;2011-02-26 09:10:15;45900;67-CE-A0-3D-E8-99-3F-A0-E9-8C-0F-EA-C2-3C-CC-C9;;;55;1403897480;komputery
73;(Kupujący);Pozytywny;2011-02-26 09:10:04;19500;67-CE-A0-3D-E8-99-3F-A0-E9-8C-0F-EA-C2-3C-CC-C9;;;55;1397288379;komputery
74;(Kupujący);Pozytywny;2011-02-26 08:19:39;4700;2A-04-FE-D5-00-D3-8F-C6-B8-18-F9-99-A7-C2-0B-D4;;;45;1401662584;fotografia
75;(Kupujący);Pozytywny;2011-02-26 08:01:20;12700;1B-C5-AA-9A-2A-E8-0A-9F-81-D4-99-26-68-02-D7-05;;;2;1426817797;komputery
76;(Kupujący);Pozytywny;2011-02-26 06:21:47;8200;E3-47-05-D1-8E-F0-3D-3A-8C-3D-48-81-4C-BB-9E-2E;;;295;1443338291;komputery
77;(Kupujący);Pozytywny;2011-02-26 00:10:49;4500;FE-46-AE-CD-15-44-C1-2E-0A-9B-A7-5E-7A-49-1F-D9;;;79;1459790622;komputery
