PosNeg;dateTime;price;category
Pozytywny;22/02/2011 20:47;1600;komputery
Pozytywny;22/02/2011 20:46;1600;komputery
Pozytywny;22/02/2011 19:36;3500;komputery
Pozytywny;22/02/2011 19:22;9900;komputery
Pozytywny;22/02/2011 18:46;10900;komputery
Pozytywny;22/02/2011 17:49;3500;komputery
Pozytywny;22/02/2011 17:38;40900;komputery
Pozytywny;22/02/2011 16:58;2900;komputery
Pozytywny;22/02/2011 16:29;6800;komputery
Negatywny;22/02/2011 15:21;8900;fotografia
Pozytywny;22/02/2011 15:19;22900;komputery
Pozytywny;22/02/2011 15:12;13900;komputery
Pozytywny;22/02/2011 14:50;6400;komputery
Pozytywny;22/02/2011 14:47;24500;komputery
Negatywny;22/02/2011 14:17;7000;komputery
Pozytywny;22/02/2011 13:52;1600;komputery
Pozytywny;22/02/2011 13:24;6900;komputery
Pozytywny;22/02/2011 13:24;14900;komputery
Pozytywny;22/02/2011 13:15;10900;komputery
Pozytywny;22/02/2011 11:55;3900;komputery
Pozytywny;22/02/2011 11:53;7900;komputery
Pozytywny;22/02/2011 11:29;3700;komputery
Pozytywny;22/02/2011 10:39;4500;komputery
Pozytywny;22/02/2011 10:39;3900;komputery
Negatywny;22/02/2011 10:36;3500;komputery
Pozytywny;22/02/2011 10:23;3300;komputery
Pozytywny;22/02/2011 10:10;2200;fotografia
Pozytywny;22/02/2011 02:35;21900;komputery
Pozytywny;21/02/2011 22:51;5900;komputery
Pozytywny;21/02/2011 21:19;7800;komputery
Pozytywny;21/02/2011 20:52;2400;komputery
Negatywny;21/02/2011 20:13;36500;komputery
Pozytywny;21/02/2011 19:09;11500;komputery
Pozytywny;21/02/2011 18:49;6500;komputery
Pozytywny;21/02/2011 18:48;19500;komputery
Pozytywny;21/02/2011 18:31;4200;komputery
